folder,file,phase,iteration,input_len,kvcache,modality,bandwidth,arcc,direction,mean_ttft_ms,std_ttft_ms,mean_itl_ms,total_token_throughput
benchmark_result_0821,ds-0821-cpu.json,prefill,3,100,cpu,CPU,N/A,N,N/A,85.00097196010756,11.385721920850791,0.0,15833.592940265993
benchmark_result_0821,ds-0821-cpu.json,prefill,1,1000,cpu,CPU,N/A,N,N/A,1291.1073151204619,305.2846466121536,0.0,11091.429422750902
benchmark_result_0821,ds-0821-cpu.json,prefill,2,1000,cpu,CPU,N/A,N,N/A,132.0612951401563,19.85313821492455,0.0,106564.65724238653
benchmark_result_0821,ds-0821-cpu.json,prefill,3,1000,cpu,CPU,N/A,N,N/A,132.03319249987544,19.898602704583944,0.0,106387.49494100238
benchmark_result_0821,ds-0821-cpu.json,prefill,1,10000,cpu,CPU,N/A,N,N/A,14289.527358420019,4800.494908776736,0.0,9557.040540371967
benchmark_result_0821,ds-0821-cpu.json,prefill,2,10000,cpu,CPU,N/A,N,N/A,659.2111788195325,130.84133137569629,0.0,237196.44915766528
benchmark_result_0821,ds-0821-cpu.json,prefill,3,10000,cpu,CPU,N/A,N,N/A,659.7727947600652,130.58277630962382,0.0,236626.94544335673
benchmark_result_0821,ds-0821-cpu.json,prefill,1,50000,cpu,CPU,N/A,N,N/A,134857.95154402024,49425.28515646246,0.0,4978.822441012984
benchmark_result_0821,ds-0821-cpu.json,prefill,2,50000,cpu,CPU,N/A,N,N/A,143831.8593351999,50897.48528083844,0.0,4715.618299853521
benchmark_result_0821,ds-0821-cpu.json,prefill,3,50000,cpu,CPU,N/A,N,N/A,143684.96158804017,50809.85322349828,0.0,4720.898008171916
benchmark_result_0821,ds-0821-cpu.json,prefill,1,100000,cpu,CPU,N/A,N,N/A,458871.20675068005,163284.53878526026,0.0,2954.3280957252564
benchmark_result_0821,ds-0821-cpu.json,prefill,2,100000,cpu,CPU,N/A,N,N/A,459338.4922597197,163345.03640894106,0.0,2951.856282571059
benchmark_result_0821,ds-0821-cpu.json,prefill,3,100000,cpu,CPU,N/A,N,N/A,458990.5251300799,163166.0626774033,0.0,2953.6606789299417
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,1,100,gds-400g,GDS,400g,Y,N/A,876.9182099355385,460.403099385435,0.0,1720.534489174322
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,2,100,gds-400g,GDS,400g,Y,N/A,370.80273180501536,110.08429162867512,0.0,3993.918343353616
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,3,100,gds-400g,GDS,400g,Y,N/A,96.40667494153604,13.190616409165154,0.0,13987.375849745238
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,1,1000,gds-400g,GDS,400g,Y,N/A,1590.692878619302,470.4767071223848,0.0,9101.358172169086
benchmark_result_0821,ds-0825-arcc-gds-400g.json,prefill,2,1000,gds-400g,GDS,400g,Y,N/A,2284.4724857015535,447.7940299552046,0.0,6661.522019378867
